             acronym                                                                            expansion        language           type                                             doc_id
1098             SVN                                                                          Subversion               en   in_expansion                              Софтуер_с_отворен_код
1099             ИОК                                                             Инициативата Отворен Код              bg   in_expansion                              Софтуер_с_отворен_код
1100            САЩ                                                          Съединените американски щати              bg  out_expansion                              Софтуер_с_отворен_код
1101             СОК                                                                Софтуер с отворен код              bg   in_expansion                              Софтуер_с_отворен_код
1102            ССОК                                                       Свободен Софтуер с Отворен Код              bg   in_expansion                              Софтуер_с_отворен_код
1103             ФСС                                                       Фондацията за свободен софтуер              bg   in_expansion                              Софтуер_с_отворен_код
1104              г.                                                                               година              bg  out_expansion                              Софтуер_с_отворен_код
1105           напр.                                                                             например              bg  out_expansion                              Софтуер_с_отворен_код
1106             BSD                                                       Berkeley Software Distribution              en   in_expansion                              Софтуер_с_отворен_код
1107             CVS                                                           Concurrent Versions System              en   in_expansion                              Софтуер_с_отворен_код
1108            FOSS                                                        Free and open-source software              en   in_expansion                              Софтуер_с_отворен_код
1109             GPL                                                           GNU General Public License              en   in_expansion                              Софтуер_с_отворен_код
1110             IBM                                                      International Business Machines              en  out_expansion                              Софтуер_с_отворен_код
1111              ID                                                                    Identity document              en  out_expansion                              Софтуер_с_отворен_код
1112             MIT                                                Massachusetts Institute of Technology              en   in_expansion                              Софтуер_с_отворен_код
1113             OSI                                                         Open Systems Interconnection              en  out_expansion                              Софтуер_с_отворен_код
1114             OSS                                                           operational support system              en  out_expansion                              Софтуер_с_отворен_код
1115             SVN                                                                           Subversion              en   in_expansion                              Софтуер_с_отворен_код
1116             ИОК                                                          Инициативата за отворен код              bg   in_expansion                              Софтуер_с_отворен_код
1117             ОПЛ                                                          Общ публичен лиценз на ГНУ               bg   in_expansion                              Софтуер_с_отворен_код
1118            САЩ                                                            Съединени Американски Щати              en  out_expansion                              Софтуер_с_отворен_код
1119             СОК                                                                Софтуер с отворен код              bg   in_expansion                              Софтуер_с_отворен_код
1120            ССОК                                                       Свободен Софтуер с Отворен Код              bg   in_expansion                              Софтуер_с_отворен_код
1121             ФСС                                                       Фондацията за свободен софтуер              bg   in_expansion                              Софтуер_с_отворен_код
1122            вкл.                                                                          включително              bg  out_expansion                              Софтуер_с_отворен_код
1123              г.                                                                               година              bg  out_expansion                              Софтуер_с_отворен_код
1124           напр.                                                                             например              bg  out_expansion                              Софтуер_с_отворен_код
1125             Хр.                                                                               Христа              bg  out_expansion                                 Старокаменна_епоха
1126              г.                                                                               година              bg  out_expansion                                 Старокаменна_епоха
1127             пр.                                                                                преди              bg  out_expansion                                 Старокаменна_епоха
1128              г.                                                                               година              bg  out_expansion                                 Старокаменна_епоха
1129         пр. Хр.                                                                         преди Христа              bg  out_expansion                                 Старокаменна_епоха
1130            10-и                                                                               десети              bg  out_expansion                                 Стефка_Костадинова
1131             7-и                                                                               седмин              bg  out_expansion                                 Стефка_Костадинова
1132             БОК                                                         Български олимпийски комитет              bg   in_expansion                                 Стефка_Костадинова
1133              г.                                                                               година              bg  out_expansion                                 Стефка_Костадинова
1134              см                                                                           сантиметър              bg  out_expansion                                 Стефка_Костадинова
1135            10-и                                                                               десети              bg  out_expansion                                 Стефка_Костадинова
1136             7-и                                                                                седми              bg  out_expansion                                 Стефка_Костадинова
1137             БОК                                                         Български Олимпийски Комитет              bg  out_expansion                                 Стефка_Костадинова
1138              г.                                                                               година              bg  out_expansion                                 Стефка_Костадинова
1139              см                                                                           сантиметър              bg  out_expansion                                 Стефка_Костадинова
1140             ФБР                                                        Федерално бюро за разследване              bg  out_expansion                                Стокхолмски_синдром
1141            т.н.                                                                         така нататък              bg  out_expansion                                Стокхолмски_синдром
1142             ФБР                                                        Федерално бюро за разследване              bg  out_expansion                                Стокхолмски_синдром
1143            т.н.                                                                         така нататък              bg  out_expansion                                Стокхолмски_синдром
1144             AIT                                                      Международния алианс по туризъм              bg   in_expansion                  Съюз_на_българските_автомобилисти
1145             ARC                                            Международната организация за пътна помощ              bg   in_expansion                  Съюз_на_българските_автомобилисти
1146             FIA                                                 Международната автомобилна федерация              bg   in_expansion                  Съюз_на_българските_автомобилисти
1147            FICC                                   Международната организация по къмпинг и караванинг              bg   in_expansion                  Съюз_на_българските_автомобилисти
1148            БАТК                                                  Български автомобилен и туринг клуб              bg   in_expansion                  Съюз_на_българските_автомобилисти
1149             СБА                                                  Съюзът на българските автомобилисти              bg   in_expansion                  Съюз_на_българските_автомобилисти
1150             AIT                                                  Alliance Internationale de Tourisme   none_of_above  out_expansion                  Съюз_на_българските_автомобилисти
1151             ARC                                                           Automotive Research Center              en  out_expansion                  Съюз_на_българските_автомобилисти
1152             FIA                                            Fédération Internationale de l'Automobile   none_of_above  out_expansion                  Съюз_на_българските_автомобилисти
1153            FICC                  Fédération Internationale de Camping, Caravanning et Autocaravaning   none_of_above  out_expansion                  Съюз_на_българските_автомобилисти
1154            БАТК                                                  Български автомобилен и туринг клуб              en   in_expansion                  Съюз_на_българските_автомобилисти
1155             СБА                                                  Съюзът на българските автомобилисти              bg   in_expansion                  Съюз_на_българските_автомобилисти
1156            СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                                              ТАБСО
1157           ТАБСО                                     Транспортно-авиационно българо-съветско общество              bg   in_expansion                                              ТАБСО
1158              г.                                                                               година              bg  out_expansion                                              ТАБСО
1159            млн.                                                                              милиона              bg  out_expansion                                              ТАБСО
1160            хил.                                                                               хиляди              bg  out_expansion                                              ТАБСО
1161            СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                                              ТАБСО
1162          ТАБСО                                      Транспортно-авиационно българо-съветско общество              bg   in_expansion                                              ТАБСО
1163              г.                                                                               година              bg  out_expansion                                              ТАБСО
1164            млн.                                                                              милиона              bg  out_expansion                                              ТАБСО
1165            хил.                                                                               хиляди              bg  out_expansion                                              ТАБСО
1166             IBM                                                      International Business Machines              en  out_expansion                                  Табулираща_машина
1167              г.                                                                               година              bg  out_expansion                                  Табулираща_машина
1168            т.н.                                                                         така нататък              bg  out_expansion                                  Табулираща_машина
1169             IBM                                                      International Business Machines              en  out_expansion                                  Табулираща_машина
1170              г.                                                                               година              bg  out_expansion                                  Табулираща_машина
1171            т.н.                                                                         така нататък              bg  out_expansion                                  Табулираща_машина
1172             FET                                                              field-effect transistor              en  out_expansion                                         Транзистор
1173          MOSFET                                    metal-oxide-semiconductor field-effect transistor              en  out_expansion                                         Транзистор
1174            NPN                                                          Negative, Positive, Negative              en  out_expansion                                         Транзистор
1175            PNP                                                          Positive, Negative, Positive              en  out_expansion                                         Транзистор
1176             МОП                                                           металл-оксид-полупроводник              bg  out_expansion                                         Транзистор
1177             FET                                                              Field-effect transistor              en  out_expansion                                         Транзистор
1178          MOSFET                                    metal-oxide-semiconductor field-effect transistor              en  out_expansion                                         Транзистор
1179             NPN                                                         Negative, Positive, Negative              en  out_expansion                                         Транзистор
1180             PNP                                                         Positive, Negative, Positive              en  out_expansion                                         Транзистор
1181               W                                                                                 Watt              en  out_expansion                                         Транзистор
1182             МОП                                                            метал-оксид-полупроводник              bg  out_expansion                                         Транзистор
1183             др.                                                                                други              bg  out_expansion                                         Транзистор
1184            т.е.                                                                                тоест              bg  out_expansion                                         Транзистор
1185          т.нар.                                                                      така нарачените              bg  out_expansion                                         Транзистор
1186            .3ds                                                                            3D Studio              en  out_expansion                                     Тримерен_печат
1187            .OBJ                                                                                                   en  out_expansion                                     Тримерен_печат
1188            .dae                                                   Digital Asset Exchange File Format              en  out_expansion                                     Тримерен_печат
1189            .skp                                                                            SketchUp               en  out_expansion                                     Тримерен_печат
1190              3D                                                                    three-dimensional              en  out_expansion                                     Тримерен_печат
1191             AEC                                            Architecture Engineering and Construction              en  out_expansion                                     Тримерен_печат
1192             CAD                                                                computer aided design              en   in_expansion                                     Тримерен_печат
1193             CNC                                                           Computer Numerical Control              en  out_expansion                                     Тримерен_печат
1194             FDM                                                            Fused Deposition Modeling              en  out_expansion                                     Тримерен_печат
1195             STL                                                                                                   en  out_expansion                                     Тримерен_печат
1196              АП                                                                адитивно производство  other language   in_expansion                                     Тримерен_печат
1197              г.                                                                               година              bg  out_expansion                                     Тримерен_печат
1198             щ.д                                                                        щатски долата              bg  out_expansion                                     Тримерен_печат
1199             3-D                                                                    three-dimensional              en  out_expansion                                     Тримерен_печат
1200             AEC                                          Architecture, Engineering, and Construction              en  out_expansion                                     Тримерен_печат
1201            BAAM                                                      Big Area Additive Manufacturing              en   in_expansion                                     Тримерен_печат
1202             CAD                                                                Computer-aided design              en  out_expansion                                     Тримерен_печат
1203             CNC                                                       Computerized Numerical Control              en  out_expansion                                     Тримерен_печат
1204             DPI                                                                        Dots per inch              en  out_expansion                                     Тримерен_печат
1205             STL                                                           Standard Triangle Language              en  out_expansion                                     Тримерен_печат
1206              µm                                                                           micrometer              en  out_expansion                                     Тримерен_печат
1207              АП                                                                адитивно производство              bg   in_expansion                                     Тримерен_печат
1208              г.                                                                              година               bg  out_expansion                                     Тримерен_печат
1209            млн.                                                                               милион              bg  out_expansion                                     Тримерен_печат
1210             CGI                                                           Computer-generated imagery              en  out_expansion                                         Уеб_сървър
1211             GIF                                                          Graphics Interchange Format              en  out_expansion                                         Уеб_сървър
1212            HTML                                                            HyperText Markup Language              en  out_expansion                                         Уеб_сървър
1213            HTTP                                                          Hypertext Transfer Protocol              en  out_expansion                                         Уеб_сървър
1214            JPEG                                                     Joint Photographic Experts Group              en  out_expansion                                         Уеб_сървър
1215             PNG                                                            Portable Network Graphics              en  out_expansion                                         Уеб_сървър
1216             XML                                                           Extensible Markup Language              en  out_expansion                                         Уеб_сървър
1217         т. нар.                                                                         така наречен              bg  out_expansion                                         Уеб_сървър
1218            т.е.                                                                                тоест              bg  out_expansion                                         Уеб_сървър
1219             CGI                                                           Computer-Generated Imagery              en  out_expansion                                         Уеб_сървър
1220             GIF                                                          Graphics Interchange Format              en  out_expansion                                         Уеб_сървър
1221            HTML                                                            HyperText Markup Language              en  out_expansion                                         Уеб_сървър
1222            HTTP                                                          Hypertext Transfer Protocol              en  out_expansion                                         Уеб_сървър
1223            JPEG                                                     Joint Photographic Experts Group              en  out_expansion                                         Уеб_сървър
1224             PNG                                                            Portable Network Graphics              en  out_expansion                                         Уеб_сървър
1225             XML                                                           Extensible Markup Language              en  out_expansion                                         Уеб_сървър
1226         т. нар.                                                                         така наречен              bg  out_expansion                                         Уеб_сървър
1227             CSS                                                               Cascading Style Sheets              en  out_expansion                                        Уебстраница
1228            HTML                                                            HyperText Markup Language              en  out_expansion                                        Уебстраница
1229            HTTP                                                          Hypertext Transfer Protocol              en  out_expansion                                        Уебстраница
1230             URL                                                             Uniform Resource Locator              en  out_expansion                                        Уебстраница
1231           XHTML                                                 Extensible HyperText Markup Language              en  out_expansion                                        Уебстраница
1232            вкл.                                                                          включително              bg  out_expansion                                        Уебстраница
1233             др.                                                                                 друг              bg  out_expansion                                        Уебстраница
1234             CSS                                                               Cascading Style Sheets              en  out_expansion                                        Уебстраница
1235            HTML                                                            HyperText Markup Language              en  out_expansion                                        Уебстраница
1236            HTTP                                                          Hypertext Transfer Protocol              en  out_expansion                                        Уебстраница
1237             URL                                                             Uniform Resource Locator              en  out_expansion                                        Уебстраница
1238           XHTML                                                 Extensible HyperText Markup Language              en  out_expansion                                        Уебстраница
1239             ЕАФ                                                Европейската асоциация на фестивалите              bg   in_expansion                                           Фестивал
1240             ЕАФ                                                Европейската асоциация на фестивалите              bg   in_expansion                                           Фестивал
1241             КЕШ                                                      Купата на европейските шампиони              bg  out_expansion                                         ФК_Ювентус
1242             САЩ                                                           Съединени Американски Щати              bg  out_expansion                                         ФК_Ювентус
1243            УЕФА                                            Съюзът на европейските футболни асоциации              bg  out_expansion                                         ФК_Ювентус
1244              ФК                                                                        Футболен клуб              bg  out_expansion                                         ФК_Ювентус
1245              г.                                                                               година              bg  out_expansion                                         ФК_Ювентус
1246             млн                                                                              милиона              bg  out_expansion                                         ФК_Ювентус
1247            УЕФА                                            Съюзът на европейските футболни асоциации              bg  out_expansion                                         ФК_Ювентус
1248              ФК                                                                        Футболен клуб              bg  out_expansion                                         ФК_Ювентус
1249            бул.                                                                             булевард              bg  out_expansion                                         ФК_Ювентус
1250              г.                                                                               година              bg  out_expansion                                         ФК_Ювентус
1251            млн.                                                                               милион              bg  out_expansion                                         ФК_Ювентус
1252             ABS                                                             Anti-lock braking system              en  out_expansion                                          Формула_1
1253             TCS                                                              Traction control system              en  out_expansion                                          Формула_1
1254              km                                                                            kilometer              en  out_expansion                                          Формула_1
1255            km/h                                                                  kilometers per hour              en  out_expansion                                          Формула_1
1256              mm                                                                           millimeter              en  out_expansion                                          Формула_1
1257             НБО                                                                   най-бърза обиколка              bg  out_expansion                                          Формула_1
1258             САЩ                                                           Съединени Американски Щати              bg  out_expansion                                          Формула_1
1259             ФИА                                                   Международна автомобилна федерация              bg  out_expansion                                          Формула_1
1260              г.                                                                               година              bg  out_expansion                                          Формула_1
1261            млн.                                                                              милиона              bg  out_expansion                                          Формула_1
1262              т.                                                                                точка              bg  out_expansion                                          Формула_1
1263            т.н.                                                                         така нататък              bg  out_expansion                                          Формула_1
1264             ABS                                                             Anti-lock braking system              en  out_expansion                                          Формула_1
1265             TCS                                                              Traction control system              en  out_expansion                                          Формула_1
1266              km                                                                            kilometer              en  out_expansion                                          Формула_1
1267            km/h                                                                  kilometers per hour              en  out_expansion                                          Формула_1
1268              mm                                                                           milimeters              en  out_expansion                                          Формула_1
1269            НБО                                                                    най-бърза обиколка              bg  out_expansion                                          Формула_1
1270             САЩ                                                           Съединени Американски Щати              bg  out_expansion                                          Формула_1
1271             ФИА                                                   Международна автомобилна федерация              bg  out_expansion                                          Формула_1
1272              г.                                                                               година              bg  out_expansion                                          Формула_1
1273            млн.                                                                              милиона              bg  out_expansion                                          Формула_1
1274          об/мин                                                                    оборота на минута              bg  out_expansion                                          Формула_1
1275              т.                                                                                точка              bg  out_expansion                                          Формула_1
1276              г.                                                                               година              bg  out_expansion                                            Хановер
1277              г.                                                                               година              bg  out_expansion                                            Хановер
1278             НХЛ                                                              Национална Хокейна Лига              bg  out_expansion                                       Хокей_на_лед
1279             САЩ                                                         Съединените Американски Щати              bg   in_expansion                                       Хокей_на_лед
1280             НХЛ                                            Националната хокейна лига на САЩ и Канада              bg   in_expansion                                       Хокей_на_лед
1281              г.                                                                               година              bg  out_expansion                                       Хокей_на_лед
1282              км                                                                            километър              bg  out_expansion                                       Хокей_на_лед
1283               м                                                                                метър              bg  out_expansion                                       Хокей_на_лед
1284              мм                                                                            милиметър              bg  out_expansion                                       Хокей_на_лед
1285              см                                                                           сантиметър              bg  out_expansion                                       Хокей_на_лед
1286            HBO                                                                       Home Box Office              en   in_expansion                                     Хоум_Бокс_Офис
1287             HD                                                                       High-definition              en  out_expansion                                     Хоум_Бокс_Офис
1288            MMDS                                         Multichannel Multipoint Distribution Service              en  out_expansion                                     Хоум_Бокс_Офис
1289             САЩ                                                         Съединените Американски Щати              bg  out_expansion                                     Хоум_Бокс_Офис
1290              ТВ                                                                            Телевизия              bg  out_expansion                                     Хоум_Бокс_Офис
1291              г.                                                                               година              bg  out_expansion                                     Хоум_Бокс_Офис
1292            млн.                                                                               милион              bg  out_expansion                                     Хоум_Бокс_Офис
1293             HBO                                                                      Home Box Office  other language   in_expansion                                     Хоум_Бокс_Офис
1294              HD                                                                      high-definition              en  out_expansion                                     Хоум_Бокс_Офис
1295            MMDS                                                     Multi Media Distribution Systems              en  out_expansion                                     Хоум_Бокс_Офис
1296              TV                                                                           Television              en  out_expansion                                     Хоум_Бокс_Офис
1297             САЩ                                                           Съединени Американски Щати              bg  out_expansion                                     Хоум_Бокс_Офис
1298              ТВ                                                                            телевизор              bg  out_expansion                                     Хоум_Бокс_Офис
1299              г.                                                                              година               bg  out_expansion                                     Хоум_Бокс_Офис
1300            млн.                                                                               милион              bg  out_expansion                                     Хоум_Бокс_Офис
1301            БРЦК                                            Българския революционен централен комитет              bg   in_expansion                                       Христо_Ботев
1302              г.                                                                               година              bg  out_expansion                                       Христо_Ботев
1303             др.                                                                                други              bg  out_expansion                                       Христо_Ботев
1304            БРЦК                                             Български революционен централен комитет              bg   in_expansion                                       Христо_Ботев
1305              г.                                                                               година              bg  out_expansion                                       Христо_Ботев
1306             др.                                                                                други              bg  out_expansion                                       Христо_Ботев
1307              г.                                                                               година              bg  out_expansion                                               Хълк
1308              г.                                                                               година              bg  out_expansion                                               Хълк
1309              km                                                                            kilometer              en  out_expansion                                           Хърватия
1310             km2                                                                     Square kilometer              en  out_expansion                                           Хърватия
